iter	Passed	Remaining
455	929	1108
456	931	1106
457	933	1104
458	934	1101
459	936	1099
460	937	1096
461	938	1093
462	940	1091
463	941	1087
464	942	1084
465	944	1081
466	945	1079
467	946	1076
468	947	1073
469	948	1070
470	949	1066
471	951	1064
472	953	1061
473	954	1058
474	955	1055
475	956	1052
476	957	1049
477	958	1046
478	959	1044
479	961	1041
480	962	1038
481	963	1035
482	965	1032
483	966	1029
484	967	1027
485	968	1024
486	970	1021
487	971	1019
488	972	1016
489	973	1013
490	975	1010
491	976	1008
492	978	1006
493	979	1003
494	981	1000
495	982	998
496	983	995
497	985	993
498	986	990
499	987	987
500	988	984
501	990	982
502	991	980
503	992	977
504	994	974
505	996	972
506	997	970
507	998	967
508	999	964
509	1000	961
510	1002	959
511	1003	956
512	1004	953
513	1005	951
514	1007	948
515	1008	946
516	1010	943
517	1011	940
518	1012	938
519	1013	935
520	1014	932
521	1016	930
522	1017	928
523	1019	926
524	1020	923
525	1021	920
526	1023	918
527	1024	916
528	1026	913
529	1027	911
530	1029	908
531	1030	906
532	1031	904
533	1033	901
534	1034	899
535	1035	896
536	1037	894
537	1038	892
538	1040	889
539	1041	886
540	1042	884
541	1043	881
542	1045	880
543	1047	877
544	1048	875
545	1049	872
546	1051	871
547	1053	868
548	1054	866
549	1055	863
550	1058	862
551	1059	860
552	1061	857
553	1062	855
554	1064	853
555	1065	850
556	1066	848
557	1067	845
558	1068	843
559	1070	840
560	1071	838
561	1072	835
562	1073	833
563	1074	830
564	1075	828
565	1076	825
566	1078	823
567	1079	820
568	1080	818
569	1081	815
570	1082	813
571	1083	810
572	1084	808
573	1085	805
574	1086	803
575	1087	800
576	1089	798
577	1090	795
578	1091	793
579	1092	790
580	1093	788
581	1094	786
582	1095	783
583	1096	781
584	1097	778
585	1098	776
586	1099	773
587	1100	771
588	1102	768
589	1103	766
590	1104	764
591	1105	761
592	1106	759
593	1107	757
594	1108	754
595	1110	752
596	1111	750
597	1112	747
598	1113	745
599	1114	743
600	1116	741
601	1117	738
602	1118	736
603	1119	734
604	1121	732
605	1122	729
606	1123	727
607	1125	725
608	1126	723
609	1127	721
610	1133	721
611	1135	719
612	1136	717
613	1137	715
614	1138	712
615	1140	710
616	1141	708
617	1142	706
618	1143	703
619	1144	701
620	1146	699
621	1147	697
622	1149	695
623	1150	693
624	1151	690
625	1152	688
626	1153	686
627	1155	684
628	1156	681
629	1157	679
630	1158	677
631	1159	675
632	1160	673
633	1162	670
634	1163	668
635	1164	666
636	1166	664
637	1167	662
638	1168	659
639	1169	657
640	1170	655
641	1171	653
642	1172	651
643	1173	648
644	1175	646
645	1176	644
646	1177	642
647	1178	640
648	1179	638
649	1180	635
650	1182	633
651	1183	631
652	1184	629
653	1186	627
654	1187	625
655	1188	623
656	1189	621
657	1191	619
658	1192	617
659	1193	614
660	1194	612
661	1195	610
662	1197	608
663	1198	606
664	1199	604
665	1200	602
666	1201	599
667	1203	598
668	1204	595
669	1205	593
670	1206	591
671	1207	589
672	1209	587
673	1210	585
674	1211	583
675	1213	581
676	1214	579
677	1215	577
678	1216	575
679	1218	573
680	1220	571
681	1221	569
682	1222	567
683	1224	565
684	1226	563
685	1227	561
686	1228	559
687	1230	557
688	1232	556
689	1233	554
690	1235	552
691	1237	550
692	1238	548
693	1240	546
694	1241	544
695	1242	542
696	1244	541
697	1245	539
698	1247	537
699	1248	535
700	1250	533
701	1252	531
702	1253	529
703	1255	527
704	1256	525
705	1258	523
706	1259	521
707	1260	519
708	1262	518
709	1279	522
710	1281	520
711	1283	519
712	1286	517
713	1288	516
714	1291	514
715	1294	513
716	1298	512
717	1300	510
718	1304	509
719	1307	508
720	1310	506
721	1312	505
722	1315	504
723	1318	502
724	1320	500
725	1323	499
726	1325	497
727	1327	495
728	1330	494
729	1331	492
730	1334	491
731	1337	489
732	1339	487
733	1341	486
734	1342	484
735	1344	482
736	1346	480
737	1348	478
738	1349	476
739	1351	474
740	1353	473
741	1355	471
742	1356	469
743	1359	467
744	1361	465
